run max_rpm damping_rate_full_throttle damping_rate_zero_throttle_clutch_engaged damping_rate_zero_throttle_clutch_disengaged gear_switch_time clutch_strength mass drag_coefficient tire_friction damping_rate radius max_brake_torque min_maximum_change min_distance_velocity min_change_para
4 6204.872 0.143 1.506 0.336 0.491 9.950 1564.880 0.288 1.932 0.250 31.835 1502.584 0.247 -7.437 3
4 6200.186 0.151 1.401 0.362 0.501 9.855 1474.560 0.279 2.004 0.250 31.839 1508.626 0.299 -8.677 3
4 5193.339 0.153 1.928 0.336 0.520 10.092 1393.554 0.288 1.928 0.244 34.519 1489.941 0.089 4.494 3
4 6247.729 0.151 1.212 0.339 0.485 10.011 1478.888 0.282 1.564 0.245 35.549 1251.222 0.394 -20.674 6
4 5274.457 0.151 1.867 0.336 0.511 9.943 1392.190 0.282 1.990 0.250 32.189 1506.858 0.067 5.073 4
4 6256.158 0.151 1.423 0.337 0.493 10.108 1485.123 0.316 2.070 0.244 31.838 1489.515 0.288 -8.29 3
4 6200.186 0.151 1.439 0.360 0.500 10.111 1472.367 0.278 2.004 0.250 31.837 1508.507 0.28 -7.907 3
4 5391.163 0.151 1.864 0.349 0.517 9.945 1394.278 0.305 1.991 0.245 34.294 1380.361 0.082 2.929 5
4 5178.499 0.151 1.928 0.336 0.523 9.869 1477.919 0.288 2.066 0.249 34.518 1505.546 0.103 4.305 3
4 5582.434 0.151 1.781 0.336 0.494 10.087 1481.615 0.307 1.991 0.251 35.227 1369.924 0.116 -4.044 5
4 5274.024 0.151 1.887 0.336 0.512 10.413 1380.162 0.285 1.979 0.250 32.189 1506.858 0.056 5.155 5
4 5420.570 0.150 1.780 0.327 0.518 9.949 1474.442 0.282 1.975 0.250 35.197 1367.356 0.11 -3.627 6
4 5218.434 0.153 1.928 0.336 0.517 9.868 1393.554 0.286 1.991 0.244 31.849 1505.696 0.047 6.211 2
4 6392.972 0.150 1.405 0.336 0.493 10.108 1476.109 0.308 2.048 0.244 31.837 1510.088 0.297 -8.575 3
4 6171.055 0.151 1.358 0.347 0.517 10.128 1478.395 0.318 2.004 0.245 31.811 1504.979 0.321 -19.176 3
4 5390.992 0.153 1.780 0.349 0.511 10.068 1394.841 0.313 1.758 0.245 35.540 1354.232 0.121 -4.265 6
4 5385.492 0.151 1.783 0.349 0.523 10.106 1479.549 0.291 1.982 0.249 34.181 1507.136 0.109 2.771 4
4 5479.302 0.151 1.767 0.348 0.495 9.944 1474.825 0.311 2.067 0.245 31.793 1508.750 0.117 4.106 3
